Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Nocardia asteroides,"Rod-shaped, branching, gram positive, 0.3-0.8 μm, partially acid-fast",Gram positive (acid-fast),Nutrient Agar or Sabouraud Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Catalase positive, Partially acid-fast, Non-motile, Slow growing","Environmental organism, opportunistic pathogen, pulmonary infection agent","25,28,30,37","6.5,7,7.5",Aerobe
Corynebacterium jeikeium,"Rod-shaped, gram positive, 0.5-1.0 μm, coryneform",Gram positive,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coryneform rod, Catalase positive, Non-motile, Lipophilic growth","Skin flora, human-associated, opportunistic nosocomial pathogen","25,30,37","6.5,7,7.5",Aerobe
Actinomyces israelii,"Rod-shaped, branching, gram positive, 0.5-1.0 μm, anaerobic",Gram positive,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram positive branching rod, Catalase negative, Obligate anaerobe, Slow growing","Human oral flora, opportunistic pathogen, actinomycosis agent","35,37,39","6.5,7,7.5",Anaerobe
Propionibacterium acnes,"Rod-shaped, gram positive, 0.5-0.8 μm, pleomorphic, anaerobic",Gram positive,Anaerobic Reinforced Medium or Thioglycollate,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram positive rod, Catalase positive, Obligate anaerobe, Slow growing, Acne pathogen","Skin flora, human-associated, acne pathogen, opportunistic infection agent","35,37,39","6.5,7,7.5",Anaerobe
Peptostreptococcus anaerobius,"Cocci, gram positive, 0.5-1.0 μm, chains or pairs, anaerobic",Gram positive,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram positive cocci, Catalase negative, Oxidase negative, Obligate anaerobe","Human flora, opportunistic pathogen, anaerobic infection agent","35,37,39","6.5,7,7.5",Anaerobe
Bacteroides fragilis,"Rod-shaped, gram negative, 0.5-0.8 μm, non-motile, anaerobic",Gram negative,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram negative rod, Oxidase negative, Catalase positive, Obligate anaerobe, Resistant to vancomycin","Human intestinal flora, opportunistic pathogen, intra-abdominal infection agent","35,37,39","6.5,7,7.5",Anaerobe
Prevotella intermedia,"Rod-shaped, gram negative, 0.3-0.5 μm, non-motile, anaerobic, pleomorphic",Gram negative,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram negative rod, Oxidase negative, Catalase variable, Obligate anaerobe, Black-pigmented","Oral flora, opportunistic pathogen, periodontal infection agent","35,37,39","6.5,7,7.5",Anaerobe
Fusobacterium nucleatum,"Rod-shaped, gram negative, 0.3-0.5 μm, non-motile, spindle-shaped, anaerobic",Gram negative,Anaerobic Reinforced Medium,"Peptic digest beef 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Cysteine 0.5 g, Agar 1.5 g (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically)","Gram negative spindle rod, Oxidase negative, Catalase negative, Obligate anaerobe, Pleomorphic","Oral flora, opportunistic pathogen, dental infection agent","35,37,39","6.5,7,7.5",Anaerobe
Porphyromonas gingivalis,"Rod-shaped, gram negative, 0.3-0.5 μm, non-motile, anaerobic, black-pigmented",Gram negative,Anaerobic Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml, Cysteine and hematin (anaerobically)",Blood Agar (anaerobic),"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (anaerobically), Black colonies","Gram negative rod, Oxidase negative, Catalase positive, Obligate anaerobe, Black-pigmented","Oral flora, opportunistic pathogen, periodontal disease agent","35,37,39","6.5,7,7.5",Anaerobe
Mycoplasma genitalium,"Pleomorphic, gram negative (atypical), 0.1-0.3 μm, no cell wall",Gram negative (cell wall-deficient),Specialized Mycoplasma Medium,"PPLO (Pleuropneumonia-Like Organisms) Agar Base 10 g, Horse Serum 10 ml, Sodium Chloride 0.5 g, Agar 15 g",Selective Mycoplasma medium,Mycoplasma selective medium,"Pleomorphic gram-negative organism, Non-culturable in standard media, Urease negative, Motile (rare)","Human pathogen, urogenital infection agent, sexually transmitted pathogen, unculturable","35,37,39","6.5,7,7.5",Facultative anaerobe
Ureaplasma urealyticum,"Pleomorphic, gram negative (atypical), 0.1-0.3 μm, no cell wall, urease positive",Gram negative (cell wall-deficient),Specialized Ureaplasma Medium,"PPLO Agar Base 10 g, Horse Serum 10 ml, Urea 0.5 g, Phenol Red 0.02 g, Sodium Chloride 0.5 g",Selective Ureaplasma medium,Ureaplasma selective medium with urea,"Pleomorphic gram-negative organism, Non-culturable in standard media, Urease positive, Slow growing","Human urogenital pathogen, sexually transmitted infection agent, unculturable","35,37,39","6.0,6.5,7.0",Facultative anaerobe
Borrelia burgdorferi,"Spiral-shaped, gram negative, 0.2-0.5 μm diameter, motile flagella, fastidious",Gram negative,Specialized Barbour-Stoenner-Kelly Medium,"BSK Agar Base 10 g, Rabbit Serum 10 ml, Gelatin 1 g, Yeast Extract 0.5 g, Sodium Chloride 0.5 g",BSK medium,Specialized BSK medium for B. burgdorferi,"Gram negative spiral rod, Motile, Gram-staining difficult, Fastidious growth, Lyme disease agent","Human pathogen, tick-borne pathogen, Lyme disease agent","30,33,35","7,7.2,7.5",Aerobe
Borrelia hermsii,"Spiral-shaped, gram negative, 0.2-0.5 μm diameter, motile flagella",Gram negative,Specialized Barbour-Stoenner-Kelly Medium,"BSK Agar Base 10 g, Rabbit Serum 10 ml, Gelatin 1 g, Yeast Extract 0.5 g, Sodium Chloride 0.5 g",BSK medium,Specialized BSK medium for Borrelia,"Gram negative spiral rod, Motile, Gram-staining difficult, Fastidious growth, Relapsing fever agent","Human pathogen, tick-borne pathogen, relapsing fever agent","35,37,39","6.5,7,7.5",Aerobe
Leptospira interrogans,"Spiral-shaped, gram negative, 0.1-0.15 μm diameter, motile flagella",Gram negative,Leptospira Medium (Ellinghausen-McCullough),"Rabbit serum 10%, Albumin 1%, Polysorbate 80 0.1%, Thiamine 0.0005%, Agar 0.3 g",Selective leptospira medium,Ellinghausen-McCullough medium,"Gram negative spiral rod, Motile, Gram-staining difficult, Aerobic, Leptospirosis agent","Environmental organism, zoonotic pathogen, leptospirosis agent, water bacterium","28,30,37","7,7.2,7.5",Aerobe
Treponema pertenue,"Spiral-shaped, gram negative, 0.1-0.2 μm diameter, motile, obligate intracellular",Gram negative,Specialized tissue culture or rabbit testis,"Not culturable in standard media, cultivated in rabbit testis or cell culture",Dark-field microscopy observation,Dark-field medium observation,"Gram negative spiral rod, Motile, Non-culturable in vitro, Intracellular pathogen, Yaws agent","Human pathogen, obligate intracellular, yaws agent, tropical infection","35,37,39","6.5,7,7.5",Anaerobe
Treponema carateum,"Spiral-shaped, gram negative, 0.1-0.2 μm diameter, motile, obligate intracellular",Gram negative,Specialized tissue culture or rabbit testis,"Not culturable in standard media, cultivated in rabbit testis or cell culture",Dark-field microscopy observation,Dark-field medium observation,"Gram negative spiral rod, Motile, Non-culturable in vitro, Intracellular pathogen, Pinta agent","Human pathogen, obligate intracellular, pinta agent, tropical infection","35,37,39","6.5,7,7.5",Anaerobe
Coxiella burnetii,"Rod-shaped, gram negative, 0.2-0.4 μm, obligate intracellular, spore-forming",Gram negative,Specialized tissue culture (Vero or HeLa cells),"Dulbecco's Modified Eagle Medium (DMEM) 90 ml, Fetal Bovine Serum (FBS) 10 ml, Glutamine 2 mM, Penicillin-Streptomycin 1%",Cell culture observation,Cell culture medium in mammalian cells,"Gram negative rod, Obligate intracellular, Spore-like form, Q fever agent","Zoonotic pathogen, Q fever agent, highly infectious, arthropod-borne","35,37,39","6.5,7,7.5",Aerobe
Orientia tsutsugamushi,"Rod-shaped, gram negative, 0.3-0.5 μm, obligate intracellular",Gram negative,Specialized tissue culture (Vero or HeLa cells),"Dulbecco's Modified Eagle Medium (DMEM) 90 ml, Fetal Bovine Serum (FBS) 10 ml, Glutamine 2 mM, Penicillin-Streptomycin 1%",Cell culture observation,Cell culture medium in mammalian cells,"Gram negative rod, Obligate intracellular, Scrub typhus agent","Zoonotic pathogen, scrub typhus agent, mite-borne pathogen","35,37,39","6.5,7,7.5",Aerobe
Ehrlichia chaffeensis,"Rod-shaped, gram negative, 0.2-0.4 μm, obligate intracellular, in inclusions",Gram negative,Specialized tissue culture (Vero or HeLa cells),"Dulbecco's Modified Eagle Medium (DMEM) 90 ml, Fetal Bovine Serum (FBS) 10 ml, Glutamine 2 mM, Penicillin-Streptomycin 1%",Cell culture observation,Cell culture medium in mammalian cells,"Gram negative rod, Obligate intracellular, Human monocytic ehrlichiosis agent","Zoonotic pathogen, human monocytic ehrlichiosis agent, tick-borne pathogen","35,37,39","6.5,7,7.5",Aerobe
Anaplasma phagocytophilum,"Rod-shaped, gram negative, 0.2-0.4 μm, obligate intracellular, in granulocytes",Gram negative,Specialized tissue culture (Vero or HeLa cells),"Dulbecco's Modified Eagle Medium (DMEM) 90 ml, Fetal Bovine Serum (FBS) 10 ml, Glutamine 2 mM, Penicillin-Streptomycin 1%",Cell culture observation,Cell culture medium in mammalian cells,"Gram negative rod, Obligate intracellular, Human granulocytic anaplasmosis agent","Zoonotic pathogen, human granulocytic anaplasmosis agent, tick-borne pathogen","35,37,39","6.5,7,7.5",Aerobe
Yersinia pestis,"Rod-shaped, gram negative, 0.5-0.8 μm, bipolar staining, non-motile at 37°C",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase negative, Catalase positive, Bipolar staining (safety pin), BSL-3 pathogen","BSL-3 pathogen, biological warfare agent, plague agent, rodent reservoir","25,28,37","6.5,7,7.5",Facultative anaerobe
Yersinia pseudotuberculosis,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella at 22°C",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase negative, Catalase positive, Motile at low temperature","Zoonotic pathogen, enterocolitis agent, rodent reservoir","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Yersinia enterocolitica,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella at 22°C",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar or CIN Agar,Cefsulodin-irgasan-novobiocin (CIN) selective medium,"Gram negative rod, Oxidase negative, Catalase positive, Motile at low temperature, Enteritis agent","Environmental organism, foodborne pathogen, enterocolitis agent","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Pasteurella multocida,"Rod-shaped or coccobacillus, gram negative, 0.3-0.5 μm, non-motile, pleomorphic",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative coccobacillus, Oxidase positive, Catalase positive, Non-motile, Animal pathogen","Animal pathogen, animal bite wound pathogen, livestock pathogen","25,30,37","6.5,7,7.5",Facultative anaerobe
Haemophilus influenzae,"Rod-shaped or coccobacillus, gram negative, 0.3-0.5 μm, non-motile, pleomorphic",Gram negative,Nutrient Agar or Chocolate Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (chocolate medium)",Chocolate Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml (chocolate with chocolate)","Gram negative coccobacillus, Oxidase positive, Catalase positive, Non-motile, Fastidious X and V factor requirement","Human pathogen, respiratory pathogen, meningitis agent, vaccine-preventable","35,37,40","6.5,7,7.5",Facultative anaerobe
Legionella micdadei,"Rod-shaped, gram negative, 0.3-0.9 μm, motile, fastidious",Gram negative,Buffered Charcoal Yeast Extract Agar,"Agar 10 g, Yeast Extract 0.5 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml, with L-cysteine and iron saltsl",Selective medium with antibiotics,"BMPA agar (BCYE with polymyxin B, anisomycin, cefamandole)","Gram negative rod, Oxidase negative, Catalase variable, Intracellular pathogen, Pittsburgh pneumonia agent","Environmental organism, water-associated, atypical pneumonia agent","35,37,40",6.9,Aerobe
Vibrio cholerae,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar or TCBS,Thiosulfate-citrate-bile salts-sucrose (TCBS) selective medium,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Halophilic, Cholera toxin producer","Human pathogen, waterborne pathogen, cholera agent, epidemic pathogen","25,28,30,37","7,7.2,7.5",Facultative anaerobe
Campylobacter coli,"Spiral-shaped, gram negative, 0.2-0.5 μm diameter, motile corkscrew",Gram negative,Selective Campylobacter Medium,"Campylobacter Selective Agar Base 42 g, Sodium Chloride 5 g, Agar 15 g, Selective Antibiotics (e.g., Trimethoprim, Cefoperazone) as needed",Selective Campylobacter Agar,Selective agar for Campylobacter isolation,"Gram negative spiral rod, Oxidase positive, Catalase positive, Motile corkscrew, Microaerophilic, Animal commensal","Animal commensal, foodborne pathogen, gastroenteritis agent","42,43,45","6.5,7,7.5",Microaerophile
Arcobacter butzleri,"Spiral-shaped, gram negative, 0.2-0.3 μm, motile",Gram negative,Selective Arcobacter Medium,"Nutrient Agar Base 3.6 g, Sodium Chloride 0.5 g, Distilled Water 100 ml, Selective Antibiotics",Selective Arcobacter medium,Selective medium for Arcobacter,"Gram negative spiral rod, Oxidase positive, Catalase positive, Motile, Aerotolerant","Environmental organism, food-associated, waterborne, gastroenteritis agent","25,30,37","6.5,7,7.5",Aerobe
Mycobacterium marinum,"Rod-shaped, gram positive, 0.2-0.6 μm, acid-fast, slow-growing",Gram positive (acid-fast),Löwenstein-Jensen Medium or MGIT,"Potato Starch 2 g, Asparagine 0.5 g, Magnesium Sulfate 0.4 g, Glycerol 5 ml, Egg Yolk 1 whole, Agar 15 g or  with glycerol",Selective Mycobacterium medium,Löwenstein-Jensen slant or MGIT tube,"Acid-fast positive rod, Non-motile, Slow growing, Scotochromogenic (yellow pigment)","Environmental organism, aquatic bacterium, fish tank granuloma agent","30,33,37","6.5,7,7.5",Aerobe
Mycobacterium abscessus,"Rod-shaped, gram positive, 0.2-0.6 μm, acid-fast, rapid-growing",Gram positive (acid-fast),Löwenstein-Jensen Medium or MGIT,"Potato Starch 2 g, Asparagine 0.5 g, Magnesium Sulfate 0.4 g, Glycerol 5 ml, Egg Yolk 1 whole, Agar 15 g or ",Selective Mycobacterium medium,Löwenstein-Jensen slant or MGIT tube,"Acid-fast positive rod, Non-motile, Rapid growing (2-4 weeks), Nonchromogenic","Environmental organism, opportunistic pathogen, lung infection agent in CF patients","35,37,40","6.5,7,7.5",Aerobe
Mycobacterium fortuitum,"Rod-shaped, gram positive, 0.2-0.6 μm, acid-fast, rapid-growing",Gram positive (acid-fast),Löwenstein-Jensen Medium or MGIT,"Potato Starch 2 g, Asparagine 0.5 g, Magnesium Sulfate 0.4 g, Glycerol 5 ml, Egg Yolk 1 whole, Agar 15 g or ",Selective Mycobacterium medium,Löwenstein-Jensen slant or MGIT tube,"Acid-fast positive rod, Non-motile, Rapid growing (3-5 days), Nonchromogenic, Iron oxide production","Environmental organism, opportunistic pathogen, soft tissue infection agent","35,37,40","6.5,7,7.5",Aerobe
Salmonella paratyphi,"Rod-shaped, gram negative, 0.5-0.8 μm, motile peritrichous flagella",Gram negative,Nutrient Agar or Selective Salmonella Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",XLD Agar or HE Agar,Selective Salmonella medium with differential indicators,"Gram negative rod, Oxidase negative, Catalase positive, Motile, Non-lactose fermenter","Human pathogen, foodborne pathogen, enteric pathogen, paratyphoid fever agent","25,30,37","6.5,7,7.5",Facultative anaerobe
Shigella sonnei,"Rod-shaped, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Nutrient Agar or Selective Shigella Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",XLD Agar or MacConkey Agar,"XLD Agar: Yeast extract 0.3 g, Xylose 0.35 g, L-Lysine 0.5 g, Lactose 0.75 g, Sucrose 0.75 g, Sodium chloride 0.5 g, Phenol red 0.008 g, Sodium deoxycholate 0.25 g, Ferric ammonium citrate 0.08 g, Sodium thiosulfate 0.68 g, Agar 1.5 g","Gram negative rod, Oxidase negative, Catalase positive, Non-motile, Non-lactose fermenter, Mannitol positive","Human pathogen, diarrheal pathogen, dysentery agent, Gram-negative nosocomial","25,30,37","6.5,7,7.5",Facultative anaerobe
